"Time, s","IAS, km/h",[U] SEP 2,"Throttle, %","Altitude, m"
0.0,0,0.0,0,174
1.0,0,0.0,17,174
2.0,1,0.0,83,174
3.0,10,0.2,110,174
4.0,22,1.1,110,174
5.0,33,2.0,110,174
6.0,44,2.9,110,174
7.0,54,3.7,110,174
8.1,65,4.5,110,174
9.1,75,5.4,110,174
10.1,85,6.1,110,174
11.1,95,7.0,110,174
12.1,105,7.5,110,174
13.1,116,8.5,110,174
14.1,128,10.3,110,174
15.1,140,12.5,110,174
16.1,152,12.9,110,174
17.1,163,13.8,110,174
18.1,175,15.0,110,174
19.1,186,16.2,110,174
20.1,198,17.0,110,174
21.1,210,18.4,110,174
22.1,221,19.6,110,174
23.1,233,20.4,110,174
24.1,243,20.5,110,174
25.1,254,20.5,110,175
26.2,264,20.9,110,175
27.2,274,22.3,110,176
28.2,284,23.7,110,178
29.2,295,25.7,110,179
30.2,307,27.5,110,180
31.2,317,27.8,110,181
32.2,327,27.7,110,182
33.2,337,27.1,110,183
34.2,346,27.0,110,184
35.2,356,27.0,110,185
36.2,365,27.0,110,186
37.2,374,26.4,110,187
38.2,382,26.7,110,187
39.2,390,25.3,110,188
40.2,398,25.4,110,188
41.2,405,25.1,110,190
42.2,412,24.2,110,192
43.2,418,24.3,110,195
44.3,423,23.9,110,199
45.3,429,22.4,110,203
46.3,434,22.6,110,208
47.3,439,22.1,110,213
48.3,444,22.6,110,216
49.3,450,21.8,110,217
50.3,456,21.6,110,218
51.3,461,20.8,110,218
52.3,466,20.6,110,219
53.3,471,20.1,110,219
54.3,476,19.6,110,220
55.3,481,18.6,110,221
56.3,485,17.9,110,222
57.3,489,17.5,110,223
58.3,493,17.9,110,225
59.3,497,16.9,110,226
60.3,501,16.3,110,226
61.4,505,16.0,110,227
62.4,508,15.5,110,228
63.4,513,15.2,110,226
64.4,517,15.0,110,222
65.4,522,13.7,110,218
66.4,526,13.8,110,213
67.4,530,12.9,110,208
68.4,534,12.5,110,203
73.4,502,12.9,110,355
74.4,490,13.6,110,412
75.4,479,15.3,110,468
76.4,468,17.4,110,525
77.4,457,18.6,110,581
78.4,447,20.1,110,637
79.5,438,21.7,110,690
80.4,428,17.2,110,738
81.5,425,16.8,110,765
82.5,430,19.6,110,770
83.5,440,20.4,110,756
84.5,456,24.2,110,727
85.5,470,21.8,110,694
86.5,484,19.4,110,660
87.5,498,17.8,110,625
88.5,511,15.8,110,588
89.5,525,15.9,110,548
90.5,538,13.2,110,507
91.5,550,10.4,110,467
92.5,561,9.4,110,429
93.5,571,8.0,110,390
94.5,582,6.2,110,352
95.5,592,4.5,110,313
96.5,600,1.1,110,276
97.5,607,-0.6,110,245
98.5,612,-2.6,110,220
99.6,617,-3.0,110,198
100.5,619,-4.2,110,183
101.5,620,-4.8,110,173
102.6,620,-4.3,110,169
103.6,619,-5.0,110,170
104.6,618,-3.9,110,173
105.6,616,-3.6,110,176
106.7,614,-3.7,110,182
107.7,612,-3.1,110,187
108.7,610,-2.6,110,193
109.8,609,-2.2,110,199
110.8,608,-1.5,110,203
111.8,607,-1.3,110,206
112.8,606,-2.5,110,208
113.8,605,-0.4,110,209
114.8,605,-0.7,110,209
115.8,605,-3.2,110,209
116.8,605,-0.5,110,209
117.8,605,0.1,110,209
118.8,604,-0.9,100,210
119.8,598,-8.7,100,220
120.9,589,-10.5,100,247
